model size elaps_time n_iter time_by_iter
MatSimpler 10 5.356 770  0.006955844
MatSimpler 15 29.018 768  0.037783854
MatSimpler 20 74.989 564  0.132959220
MatSimpler 25 380.968 912  0.417728070
MatSimpler 30 684.169 634  1.079130915
MatConstr 10 90.341   7826   0.01154370
MatConstr 15 130.974   1830   0.07157049
MatConstr 20 1112.987   4328   0.25715966
MatConstr 25 2937.484   4130   0.71125521
MatConstr 30 5700.465   3050   1.86900492
MatSep 10 6.386 446   0.01431839
MatSep 15 57.690 806   0.07157568
MatSep 20 215.376 754   0.28564456
MatSep 25 496.981 624   0.79644391
MatSep 30 998.202 470   2.12383404
LMC 10 4.271 755  0.005656954
LMC 15 27.107 827  0.032777509
LMC 20 141.529   1035  0.136742995
LMC 25 481.601   1067  0.451359888
LMC 30 1939.578   1539  1.260284600

