nvar size user.self sys.self elapsed
2 10     6.930    0.056     6.975
2 15    90.607    0.119    47.501
2 20   218.771    1.093   178.306
2 25   399.952    3.891   379.234
2 30  1795.321   14.954  1769.133
3 10    58.936    0.082    13.720
3 15   128.853    0.046    87.992
3 20   456.761    3.855   419.735
3 25  1523.749   19.176  1495.695
3 30  4283.031   67.134  4307.341
4 10    61.914    0.166    19.905
4 15   208.668    0.148   165.331
4 20   828.868    1.597   788.353
4 25  2923.038   68.060  2947.998
4 30  9286.525  181.090  9427.189
5 10    70.456    0.148    29.041
5 15   294.717    0.112   254.056
5 20  1353.673    0.161  1312.991
5 25  4627.409   97.430  4660.767
5 30 13145.017  242.372 13342.712
6 10    82.571    0.227    42.218
6 15   434.754    0.118   394.085
6 20  2070.465    0.533  2028.705
6 25  7508.263   85.977  7539.310
6 30 21684.997  286.894 21931.388




