"nvar" "size" "user.self" "sys.self" "elapsed"
"1" 2 10 9.771 0.136 9.879
"2" 2 15 37.084 0.066 37.132
"3" 2 20 229.334 1.088 231.056
"4" 2 25 517.181 4.07 521.211
"5" 2 30 848.891 4.648 853.503
"6" 3 10 19.4400000000001 0.130000000000001 19.5260000000001
"7" 3 15 106.22 0.314 106.472
"8" 3 20 402.652 0.272 402.842
"9" 3 25 1256.078 15.511 1271.485
"10" 3 30 3287.079 50.835 3337.791
"11" 4 10 27.9899999999998 0.219999999999999 28.1610000000001
"12" 4 15 153.335 0.253 153.513
"13" 4 20 570.313 0.277000000000001 570.5
"14" 4 25 1709.974 45.548 1755.404
"15" 4 30 4377.785 132.646 4510.297
"16" 5 10 34.1180000000004 0.216999999999985 34.2759999999998
"17" 5 15 194.556999999999 0.29200000000003 194.769
"18" 5 20 750.207999999999 0.36099999999999 750.463
"19" 5 25 2295.466 63.717 2359.04
"20" 5 30 5979.082 191.207 6170.113
"21" 6 10 41.1880000000019 0.283999999999992 41.4079999999994
"22" 6 15 233.488000000001 0.435999999999922 233.834999999999
"23" 6 20 898.909 32.773 931.576000000001
"24" 6 25 2910.367 115.337 3025.588
"25" 6 30 7240.271 391.369 7631.84
